TickerA,TickerB,PValue,StrategySharpe,StrategyPnL
FOXA,FOX,0.002612831097623343,5.136796315930009,0.9411357134665626
MPC,PSX,0.009790154488462351,4.582599960806527,2.761769373885177
PFS,SBCF,0.011225333714299133,4.849128235692828,3.1077374919286216
USB,TFC,0.01244310517445099,4.4685779038544,3.026502378181963
RNST,WSFS,0.016908936806232944,5.0650251326828695,3.318473393265462
UDR,CPT,0.019395969428087963,4.811523505546448,2.432786131557462
V,MA,0.020680925795227012,4.8943716313212535,2.5833130433975544
INDB,PFS,0.022762018833048653,4.852004477153698,3.3766566409130556
EQR,ESS,0.023023041647358758,4.834934132488668,2.1636257231052243
PFS,CBU,0.02422830432126631,4.434318470171522,2.7087404864872835
RF,HBAN,0.026304527947571172,4.675050972034372,2.4923566261651766
MS,GS,0.0264638148927896,4.396192612973121,2.5054881873432064
TRMK,NWBI,0.028972798136204844,4.8663227945084016,2.979662978260069
RSG,WM,0.03213254174463712,4.9315254944896685,2.685170641782324
DHR,TMO,0.036163222820177254,4.849196310996227,3.1311501930198746
TRMK,BANR,0.046600859582198326,4.213215402409326,2.739120398979462
MAA,UDR,0.047803398133857915,5.315306687054794,2.6026455261152295
