#{"t_start": 1750359575.1491616, "env_id": "None"}
r,l,t
-2.136508,682,32.663662
-4.71574,1036,81.423687
-0.780124,205,90.102435
-1.974989,637,119.824645
-0.127976,144,126.20608
-5.471817,1081,176.109798
-4.282953,624,205.953526
-3.610178,790,243.218102
-0.751076,563,268.666279
-1.93844,726,302.093616
-1.910123,525,326.432195
-0.869544,525,351.678604
-0.358515,367,367.674774
-1.624206,549,393.078342
-4.558352,952,437.332185
-4.023443,774,471.984971
-0.445186,345,488.296988
-1.203125,373,505.724889
-4.871347,951,549.221625
-2.393044,782,584.421628
-4.894921,903,626.445395
-4.713929,974,671.736608
-0.762587,231,681.984958
-0.029118,205,690.603624
-4.157028,797,727.968107
-0.315562,375,744.849384
-1.231516,579,772.645742
-0.163243,526,796.502175
-3.639835,924,839.51043
-7.036215,1141,892.316349
-2.797238,788,929.404356
-0.942307,578,956.18469
-2.498283,899,998.562927
-5.039672,1032,1046.690925
-4.556107,827,1083.566399
0.013591,25,1084.655461
-1.03783,596,1111.94065
-6.767175,1045,1160.209954
-2.99373,953,1205.329791
-3.472082,908,1246.901278
-3.419557,762,1281.568283
-0.07806,388,1299.313828
-2.812192,800,1337.278065
-2.666263,765,1371.424444
-4.505372,962,1416.97765
-5.306559,1045,1465.473093
-1.683694,582,1493.278753
-3.073264,1029,1542.127975
-1.393113,842,1582.674824
-4.168128,1123,1633.601252
-0.12283,136,1639.65053
0.002689,392,1657.426844
-0.140009,459,1680.352574
-4.358076,1048,1728.393101
-0.886772,493,1750.861294
-3.551485,866,1790.764417
-0.354724,120,1796.12377
-0.221709,384,1814.968905
0.153046,429,1834.568124
-5.019707,1076,1884.787181
-1.555525,638,1914.766305
-1.224429,747,1949.158228
0.075056,450,1968.876115
0.04238,263,1981.274457
-0.800877,930,2024.257321
0.396947,200,2032.747825
0.78842,566,2058.899886
0.045229,61,2061.517876
-0.848132,424,2081.043458
-4.310187,1131,2132.830859
-0.388941,184,2141.703705
-1.382123,788,2177.979902
0.725217,478,2199.887134
-2.745024,828,2238.535132
-0.091044,181,2245.993544
-3.74449,1003,2292.29167
-0.855878,405,2309.251552
-3.955151,1033,2358.199325
-0.476409,133,2364.420458
-0.029939,10,2364.894034
0.604704,422,2384.924171
-2.990542,854,2424.968836
-2.389997,1070,2473.249752
-0.012388,163,2480.507764
1.246566,510,2503.869052
1.444809,556,2529.81007
-2.372924,1035,2575.661768
0.280404,437,2595.829222
-0.024929,3,2595.975362
-2.60529,903,2636.879769
-2.577038,1079,2684.507831
0.428955,63,2687.304935
2.13767,496,2712.777756
0.287996,78,2716.34888
1.031427,612,2745.183404
-4.378502,1153,2798.7247
-0.021881,64,2801.077146
-0.389017,417,2817.913775
0.642749,242,2829.550808
-0.103836,494,2853.076189
0.090937,663,2882.788288
-4.449685,1149,2936.156209
-0.006234,380,2952.928367
0.376226,493,2975.462584
-3.390233,1037,3023.792052
-0.395071,754,3058.03846
-2.294239,1053,3106.922262
-0.025292,19,3107.850123
-2.996275,969,3151.542011
1.009848,273,3164.286052
0.078283,80,3168.972704
-0.008991,4,3169.137485
0.364231,810,3207.048838
0.201506,70,3210.193672
-1.606175,975,3255.671796
-0.724899,369,3273.24063
2.074144,455,3293.091149
-0.375379,814,3332.078148
0.993383,781,3366.531915
3.072565,469,3387.753386
2.003433,488,3410.034832
0.359623,169,3417.938597
0.354758,236,3428.873052
-2.330221,940,3474.115194
2.427816,563,3499.935139
